CAR_MODAL,BRAND,CAR_NAME,CAR_VARIANT,OWNER_TYPE,KM_DRIVEN,FUEL_TYPE,MONTHLY_EMI,CAR_PRICE,LOCATION
2016,Maruti,Alto,Alto 800 LXI ,MANUAL,97698,PETROL,"4,712",241000,New Delhi
2015,Maruti,Swift,Swift VXI ,MANUAL,102460,PETROL,"7,407",333000,New Delhi
2019,Maruti,Baleno,Baleno DELTA PETROL 1.2 ,MANUAL,35190,PETROL,"10,889",557000,New Delhi
2020,Mahindra,XUV300,XUV300 W8 (O) 1.5 DIESEL AMT ,AUTOMATIC,64038,DIESEL,"17,093",898000,New Delhi
2017,Tata,NEXON,NEXON XZ PLUS PETROL ,MANUAL,82375,PETROL,"11,769",602000,New Delhi
2021,Tata,ALTROZ,ALTROZ XM PLUS PETROL ,MANUAL,49461,PETROL,"12,297",629000,New Delhi
2020,Hyundai,VENUE,VENUE SX 1.0 TURBO ,MANUAL,43417,PETROL,"16,579",871000,New Delhi
2024,Hyundai,NEW,NEW I20 Sportz (O) 1.2 IVT ,AUTOMATIC,3295,PETROL,"19,015",999000,New Delhi
2020,Hyundai,GRAND,GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT ,MANUAL,20631,PETROL,"10,577",541000,New Delhi
2019,Maruti,Baleno,Baleno ZETA PETROL 1.2 ,MANUAL,21221,PETROL,"12,692",649000,New Delhi
2011,Hyundai,i20,i20 MAGNA 1.2 ,MANUAL,78624,PETROL,"8,614",183000,New Delhi
2017,Maruti,Swift,Swift LXI (O) ,MANUAL,23582,PETROL,"8,641",442000,New Delhi
2017,Maruti,Swift,Swift LXI (O) ,MANUAL,47657,PETROL,"8,524",436000,New Delhi
2018,Maruti,Alto,Alto 800 LXI ,MANUAL,39074,PETROL,"5,259",269000,New Delhi
2018,Volkswagen,Ameo,Ameo HIGHLINE PLUS 1.0L 16 ALLOY ,MANUAL,40904,PETROL,"9,306",476000,New Delhi
2020,Honda,City,City 1.5L I-VTE V CVT ,AUTOMATIC,55879,PETROL,"16,769",881000,New Delhi
2021,Honda,City,City 1.5L I-VTE V CVT ,AUTOMATIC,34459,PETROL,"19,834",1042000,New Delhi
2015,Honda,City,City 1.5L I-VTEC V MT ,MANUAL,89726,PETROL,"10,655",545000,New Delhi
2018,Maruti,Dzire,Dzire LXI ,MANUAL,38776,PETROL,"10,080",516000,New Delhi
2017,Hyundai,Elite,Elite i20 MAGNA EXECUTIVE 1.2 ,MANUAL,27659,PETROL,"9,521",487000,New Delhi
2017,Volkswagen,Ameo,Ameo TRENDLINE 1.2L ,MANUAL,67835,PETROL,"7,351",376000,New Delhi
2022,Hyundai,Creta,Creta EX 1.5 PETROL ,MANUAL,19352,PETROL,"21,908",1151000,New Delhi
